"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,demographics,,text,"Study ID",,,,,,,,,,,,,
first_name,demographics,,text,"First Name",,,alpha_only,,,,,,,,,,
last_name,demographics,,text,"<p>Last Name</p>",,,alpha_only,,,y,,,,,,,
age,demographics,,text,Age,,"Age in Years (Whole Number)",number,17,90,,,y,,,,,
gender,demographics,,radio,Gender,"0, Female | 1, Male | 2, Other | 3, Prefer not to say",,,,,,,y,,,,,
date_of_admission,demographics,Baseline_Data,text,"Date of Admission",,,date_dmy,,,,,,,,,,
covid_pcr,demographics,,radio,"Covid PCR Status","1, Positive | 2, Negative | 3, Suspected",,,,,,,y,,,,,
comorbidities,demographics,,checkbox,"Pre-Existing Comorbidities","1, None | 2, Diabetes Mellitus (DM) | 3, Hypertension (HTN) | 4, Asthma | 5, COPD | 6, Ischemic Heart Disease (IHD) | 7, Chronic Liver Disease (CLD) | 8, Hepatitis C (HCV) | 9, Stroke | 10, Other",,,,,,,y,,,,,
autoimmune_disease,demographics,,yesno,"Autoimmune Disease",,,,,,,,y,,,,,
auto_immune_treatment,demographics,,checkbox,"Auto-immune Treatment Taken","1, NSAIDs | 2, Steroids | 3, Other immunosuppressant",,,,,,"[autoimmune_disease] = '1'",y,,,,,
lab_collection_date,lfts,,text,"Lab Collection Date",,,date_dmy,,,,,y,,,,,
bil_level,lfts,,text,"Total Serum Bilirubin (mg/dL)",,"Normal Cutoff: <1.2 mg/dL",number,0.1,20,,,,,,,,
alt_level,lfts,,text,"Alanine Aminotransferase - ALT (U/L)",,"Normal cutoff: 7 – 55 (U/L)",number,5,1000,,,y,,,,,
ast_level,lfts,,text,"Aspartate Aminotransferase - AST (U/L)",,"Normal cutoff: 8 – 40 (U/L)",number,5,1000,,,y,,,,,
alp_level,lfts,,text,"Alkaline Phosphatase - ALP (IU/L)",,"Normal cutoff: 44 – 147 (IU/L)",number,20,1200,,,y,,,,,
crp_level,lfts,,text,"C-Reactive Protein - CRP (mg/L)",,"Normal cutoff: <3.0 mg/L",number,0.5,500,,,y,,,,,
ferritin_level,lfts,,text,"Serum Ferritin Level (ng/mL)",,"Normal cutoff: 11-336 ng/mL",number,1,5000,,,y,,,,,
d_dimer_level,lfts,,text,"D-Dimer Level (mcg/mL)",,"Normal cutoff: <0.50 mcg/mL",number,0.05,500,,,y,,,,,
deranged_alt_flag,lfts,,calc,"Calculated: Elevated ALT Flag","if([alt_level] > 55, 1, 0)",,,,,,,y,,,,,
date_outcom_disch,clinical_outcome,,text,"Date of Outcome / Discharge",,,date_dmy,,,,,y,,,,,
